"","Distance","ratioNSP2","ratioOther","Protein"
"163",0.44219,0.47919,0.92137,"VP7_Mon"
"173",0.3481,0.47572,0.82382,"VP7_Mon"
"183",0.23795,0.46899,0.70694,"VP7_Mon"
"193",0.55828,0.4662,1.0245,"VP7_Mon"
"203",0.74952,0.46283,1.2124,"VP7_Mon"
"214",0.41917,0.46046,0.87964,"VP7_Mon"
"223",0.33736,0.45943,0.79679,"VP7_Mon"
"233",0.53786,0.45578,0.99364,"VP7_Mon"
"243",0.29432,0.45076,0.74508,"VP7_Mon"
"253",0.38493,0.45036,0.8353,"VP7_Mon"
"263",0.41115,0.44442,0.85557,"VP7_Mon"
"273",0.65235,0.43791,1.0903,"VP7_Mon"
"283",0.27223,0.4352,0.70743,"VP7_Mon"
"293",0.33605,0.43279,0.76884,"VP7_Mon"
"303",0.3637,0.43071,0.79442,"VP7_Mon"
"315",0.38812,0.42918,0.8173,"VP7_Mon"
"324",0.40411,0.42597,0.83008,"VP7_Mon"
"334",0.39821,0.42581,0.82402,"VP7_Mon"
"344",0.35952,0.41861,0.77813,"VP7_Mon"
"354",0.35217,0.4152,0.76737,"VP7_Mon"
"364",0.47628,0.41357,0.88984,"VP7_Mon"
"374",0.35859,0.41157,0.77016,"VP7_Mon"
"384",0.28648,0.40568,0.69216,"VP7_Mon"
"394",0.66208,0.40438,1.0665,"VP7_Mon"
"404",0.4652,0.40293,0.86813,"VP7_Mon"
"415",0.4467,0.39983,0.84653,"VP7_Mon"
"424",0.32892,0.39911,0.72803,"VP7_Mon"
"434",0.23554,0.39157,0.62711,"VP7_Mon"
"443",0.59833,0.39067,0.989,"VP7_Mon"
"453",0.46243,0.38832,0.85074,"VP7_Mon"
"463",0.36928,0.38771,0.75699,"VP7_Mon"
"473",0.41776,0.37655,0.79432,"VP7_Mon"
"483",0.16906,0.36831,0.53737,"VP7_Mon"
"493",0.35161,0.36757,0.71918,"VP7_Mon"
"503",0.32392,0.35718,0.6811,"VP7_Mon"
"514",0.30656,0.35418,0.66074,"VP7_Mon"
"523",0.62147,0.35414,0.9756,"VP7_Mon"
"533",0.44404,0.35034,0.79438,"VP7_Mon"
"543",0.41122,0.34774,0.75896,"VP7_Mon"
"553",0.64253,0.34645,0.98897,"VP7_Mon"
"563",0.3783,0.3461,0.7244,"VP7_Mon"
"573",0.3783,0.34107,0.71937,"VP7_Mon"
"583",0.27217,0.34097,0.61314,"VP7_Mon"
"593",0.35323,0.34031,0.69355,"VP7_Mon"
"603",0.15639,0.3289,0.48529,"VP7_Mon"
"612",0.24196,0.32228,0.56425,"VP7_Mon"
"622",0.21755,0.31877,0.53633,"VP7_Mon"
"632",0.30401,0.3122,0.61621,"VP7_Mon"
"642",0.28242,0.30901,0.59143,"VP7_Mon"
"652",0.19669,0.30815,0.50484,"VP7_Mon"
"661",0.46266,0.30244,0.7651,"VP7_Mon"
"671",0.21971,0.2786,0.49831,"VP7_Mon"
"115",-0.0055198,0.6649,0.65938,"VP1"
"215",0.15668,0.50051,0.65719,"VP1"
"316",0.0097904,0.49857,0.50836,"VP1"
"416",0.070403,0.48706,0.55746,"VP1"
"515",0.036627,0.47338,0.51,"VP1"
"613",0.18296,0.43777,0.62073,"VP1"
"712",-0.01359,0.43147,0.41788,"VP1"
"813",0.02838,0.42955,0.45793,"VP1"
"913",0.07847,0.40141,0.47988,"VP1"
"105",0.12748,0.39831,0.52578,"VP1"
"116",0.026024,0.39778,0.42381,"VP1"
"124",0.029206,0.38281,0.41202,"VP1"
"134",0.017888,0.37744,0.39533,"VP1"
"144",0.062391,0.37609,0.43848,"VP1"
"154",0.0082394,0.37073,0.37897,"VP1"
"164",-0.024713,0.37011,0.34539,"VP1"
"174",0.16451,0.36356,0.52807,"VP1"
"184",0.2024,0.35978,0.56217,"VP1"
"194",0.076932,0.353,0.42993,"VP1"
"204",0.019775,0.34732,0.36709,"VP1"
"216",0.024913,0.33722,0.36213,"VP1"
"224",0.046465,0.33588,0.38234,"VP1"
"234",0.030539,0.33396,0.3645,"VP1"
"244",0.041205,0.33363,0.37483,"VP1"
"254",0.027481,0.32845,0.35593,"VP1"
"264",0.044489,0.32165,0.36614,"VP1"
"274",0.12862,0.32015,0.44877,"VP1"
"284",0.031213,0.31951,0.35073,"VP1"
"294",0.043039,0.31263,0.35567,"VP1"
"304",0.036031,0.30649,0.34253,"VP1"
"317",0.029443,0.29683,0.32628,"VP1"
"325",0.059297,0.29212,0.35142,"VP1"
"335",0.044596,0.28583,0.33042,"VP1"
"345",0.044971,0.28503,0.33,"VP1"
"355",0.09843,0.28445,0.38288,"VP1"
"365",0.081819,0.27903,0.36085,"VP1"
"375",0.022827,0.27688,0.29971,"VP1"
"385",0.012144,0.27552,0.28767,"VP1"
"395",0.078691,0.27437,0.35306,"VP1"
"405",0.044727,0.27099,0.31572,"VP1"
"117",0.2107,0.53478,0.74547,"VP2"
"217",-0.0011846,0.51081,0.50962,"VP2"
"318",0.058339,0.49643,0.55476,"VP2"
"417",0.067667,0.4759,0.54357,"VP2"
"516",-0.0069476,0.45664,0.4497,"VP2"
"614",0.048051,0.45114,0.49919,"VP2"
"713",0.034036,0.44495,0.47899,"VP2"
"814",-0.017204,0.44273,0.42553,"VP2"
"914",0.014666,0.43738,0.45205,"VP2"
"106",0.006478,0.40124,0.40771,"VP2"
"118",0.02418,0.39,0.41418,"VP2"
"125",0.058451,0.38389,0.44234,"VP2"
"135",0.11606,0.38141,0.49748,"VP2"
"145",0.0491,0.37824,0.42734,"VP2"
"155",0.01149,0.37659,0.38808,"VP2"
"165",0.0042458,0.37307,0.37732,"VP2"
"175",-0.017655,0.36386,0.34621,"VP2"
"185",0.0019837,0.36063,0.36261,"VP2"
"195",-0.0057223,0.36014,0.35442,"VP2"
"205",0.11561,0.35751,0.47312,"VP2"
"218",0.041874,0.35573,0.3976,"VP2"
"225",0.24461,0.35287,0.59748,"VP2"
"235",0.15173,0.34586,0.49759,"VP2"
"245",0.053583,0.3457,0.39928,"VP2"
"255",0.016792,0.33804,0.35484,"VP2"
"265",0.019192,0.33625,0.35544,"VP2"
"275",0.051847,0.32678,0.37862,"VP2"
"285",0.040924,0.32104,0.36197,"VP2"
"295",0.14072,0.32034,0.46107,"VP2"
"305",0.10316,0.3186,0.42176,"VP2"
"319",0.082735,0.31814,0.40087,"VP2"
"326",0.11093,0.31529,0.42622,"VP2"
"336",-0.0093441,0.31387,0.30453,"VP2"
"346",0.0097277,0.31336,0.32309,"VP2"
"356",-0.012924,0.30924,0.29631,"VP2"
"366",0.056989,0.30775,0.36474,"VP2"
"376",0.022563,0.30282,0.32538,"VP2"
"386",0.036872,0.30166,0.33853,"VP2"
"396",-0.0016471,0.29693,0.29528,"VP2"
"406",0.0078056,0.29426,0.30207,"VP2"
